NAME,ID,RecordLinkage_Cluster,DBSCAN_Cluster,RL_Cluster_Size,DBSCAN_Cluster_Size
AERO-CARIBBEAN,36,0,-1,1,7170
AVIA IMPORT,173,1,-1,8,7170
NATIONAL BANK OF CUBA,306,2,0,19,3
COIBA,540,3,-1,1,7170
CRYMSA,552,4,-1,1,7170
COPROVA,555,5,1,2,2
COPROVA SARL,555,5,1,2,2
CIMEX,559,6,2,3,5
DELVEST HOLDING COMPANY,651,7,3,1,9
CUBANA AIRLINES,735,8,4,2,4
CARIBBEAN EXPORT ENTERPRISE,751,9,-1,1,7170
CUBATUR,758,10,-1,1,7170
GALAX INC.,815,11,-1,1,7170
"HAVANA INTERNATIONAL BANK, LTD",906,12,5,1,975
CUFLET,1287,13,-1,1,7170
CUBAN FREIGHT ENTERPRISE,1287,14,-1,1,7170
"TROVER, S.A.",2109,15,-1,1,7170
TROPICANA TOURS GMBH,2110,16,-1,1,7170
"ZAYDAN, Muhammad",2674,17,6,3,1230
"AL-ZAWAHIRI, Ayman",2676,18,-1,2207,7170
"SALIM, Ahmad Fuad",2676,19,-1,295,7170
"AL-ZAWAHIRI, Aiman Muhammad Rabi",2676,18,-1,2207,7170
"ZUMAR, Abbud",2677,20,7,1,4
"AL-ZUMAR, Abbud",2677,18,7,2207,4
"EL-ZOMOR, Aboud Abdul Latif Hasan",2677,21,8,1,3
"AL-ZUMUR, Abood Abdul Latif Hassan",2677,18,8,2207,3
"AL-ZAMUR, Abboud Abdul Latif Hassan",2677,18,8,2207,3
"HAWATMEH, Nayif",2681,22,9,2,2
"HAWATMAH, Nayif",2681,22,9,2,2
"KHALID, Abu",2681,23,-1,235,7170
"JIBRIL, Ahmad",2683,24,-1,8,7170
"NASRALLAH, Hasan Abd-al-Karim",2686,25,-1,18,7170
GENERAL NICKEL SA,3749,26,-1,1,7170
"MARZUK, Musa Abu",3754,27,10,3,2
"ABU-MARZUQ, Dr. Musa",3754,18,-1,2207,7170
"MARZOOK, Mousa Mohamed Abou",3754,27,-1,3,7170
"ABU-MARZUQ, Sa'id",3754,18,-1,2207,7170
"MARZOUK, Musa Abu",3754,27,10,3,2
"ABDULLAH, Dr. Ramadan",4257,18,11,2207,3
"SHALLAH, Dr. Ramadan Abdullah",4257,19,11,295,3
"SHALLAH, Ramadan Abdalla Mohamed",4257,19,11,295,3
CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN,4632,28,12,3,55
BANK MARKAZI IRAN,4632,29,-1,71,7170
CENTRAL BANK OF IRAN,4632,28,13,3,3
HOUSING BANK - OF IRAN,4633,30,-1,1,7170
WORKERS' WELFARE BANK - OF IRAN,4635,31,-1,1,7170
BANK REFAH,4635,29,-1,71,7170
AGRICULTURAL BANK OF IRAN,4639,32,13,1,3
BANK KESHAVARZI,4639,29,-1,71,7170
IRAN OVERSEAS INVESTMENT BANK PLC,4642,33,14,6,3
IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,4642,33,14,6,3
IRAN OVERSEAS INVESTMENT BANK LIMITED,4642,33,14,6,3
AL HARAKAT AL ISLAMIYYA,4688,18,15,2207,78
GROUPEMENT ISLAMIQUE ARME,4690,34,-1,1,7170
AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,4690,18,15,2207,78
AUM SUPREME TRUTH,4691,35,-1,1,7170
A.I.C. SOGO KENKYUSHO,4691,36,-1,1,7170
A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,4691,37,16,1,106
ALEPH,4691,38,-1,1,7170
BASQUE FATHERLAND AND LIBERTY,4693,39,-1,1,7170
BATASUNA,4693,40,17,1,2
EUSKAL HERRITARROK,4693,41,-1,1,7170
HERRI BATASUNA,4693,42,-1,1,7170
ASKATASUNA,4693,43,17,2,2
EKIN,4693,44,-1,1,7170
XAKI,4693,45,-1,1,7170
JARRAI-HAIKA-SEGI,4693,46,-1,1,7170
EPANASTATIKI PIRINES,4693,47,-1,3,7170
POPULAR REVOLUTIONARY STRUGGLE,4693,48,18,2,3
ISLAMIC GROUP,4694,49,19,99,2
AL-GAMA'AT,4694,18,-1,2207,7170
ISLAMIC GAMA'AT,4694,49,-1,99,7170
EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,4694,50,15,1,78
ISLAMIC RESISTANCE MOVEMENT,4695,49,20,99,11
HARAKAT AL-MUQAWAMA AL-ISLAMIYA,4695,51,15,23,78
STUDENTS OF AYYASH,4695,52,-1,2,7170
STUDENTS OF THE ENGINEER,4695,52,-1,2,7170
YAHYA AYYASH UNITS,4695,53,-1,3,7170
IZZ AL-DIN AL-QASSIM BRIGADES,4695,54,21,6,6
IZZ AL-DIN AL-QASSIM FORCES,4695,54,21,6,6
IZZ AL-DIN AL-QASSIM BATTALIONS,4695,54,21,6,6
IZZ AL-DIN AL QASSAM BRIGADES,4695,54,21,6,6
IZZ AL-DIN AL QASSAM FORCES,4695,54,21,6,6
IZZ AL-DIN AL QASSAM BATTALIONS,4695,54,21,6,6
HARAKAT UL-ANSAR,4696,51,-1,23,7170
HARAKAT UL-MUJAHIDIN,4696,51,22,23,4
AL-FARAN,4696,18,-1,2207,7170
AL-HADID,4696,18,23,2207,2
AL-HADITH,4696,18,23,2207,2
JAMIAT UL-ANSAR,4696,55,-1,90,7170
ANSAR-UL-UMMAH,4696,18,-1,2207,7170
PARTY OF GOD,4697,56,-1,2,7170
ISLAMIC JIHAD,4697,49,12,99,55
ISLAMIC JIHAD ORGANIZATION,4697,49,-1,99,7170
REVOLUTIONARY JUSTICE ORGANIZATION,4697,57,-1,8,7170
ORGANIZATION OF THE OPPRESSED ON EARTH,4697,58,24,3,2
ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,4697,49,12,99,55
ORGANIZATION OF RIGHT AGAINST WRONG,4697,58,-1,3,7170
ANSAR ALLAH,4697,18,25,2207,7
FOLLOWERS OF THE PROPHET MUHAMMED,4697,59,-1,1,7170
LEBANESE HIZBALLAH,4697,60,26,2,2
LEBANESE HEZBOLLAH,4697,60,26,2,2
HIZBALLAH ESO,4697,61,27,8,4
HIZBALLAH INTERNATIONAL,4697,61,5,8,975
EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH,4697,62,-1,4,7170
REPRESSION OF TRAITORS,4700,63,-1,1,7170
DIKUY BOGDIM,4700,64,-1,1,7170
DOV,4700,65,-1,1,7170
STATE OF JUDEA,4700,66,-1,1,7170
COMMITTEE FOR THE SAFETY OF THE ROADS,4700,67,-1,25,7170
SWORD OF DAVID,4700,68,-1,1,7170
JUDEA POLICE,4700,69,28,1,2
KAHANE LIVES,4700,70,-1,5,7170
KFAR TAPUAH FUND,4700,71,-1,1,7170
THE JUDEAN VOICE,4700,72,29,2,2
FOREFRONT OF THE IDEA,4700,73,-1,1,7170
THE QOMEMIYUT MOVEMENT,4700,74,-1,1,7170
THE JUDEAN LEGION,4700,72,-1,2,7170
THE WAY OF THE TORAH,4700,75,-1,1,7170
THE YESHIVA OF THE JEWISH IDEA,4700,76,30,2,4
KOACH,4700,77,-1,2,7170
KACH,4700,77,-1,2,7170
NEW KACH MOVEMENT,4700,78,-1,7,7170
NEWKACH.ORG,4700,79,-1,1,7170
KAHANE,4700,70,-1,5,7170
YESHIVAT HARAV MEIR,4700,80,-1,1,7170
THE INTERNATIONAL KAHANE MOVEMENT,4700,81,-1,18,7170
KAHANE.ORG,4700,70,-1,5,7170
JEWISH IDEA YESHIVA,4700,82,30,1,4
KAHANETZADAK.COM,4700,70,-1,5,7170
KAHANE TZADAK,4700,70,-1,5,7170
THE HATIKVA JEWISH IDENTITY CENTER,4700,83,-1,1,7170
THE RABBI MEIR DAVID KAHANE MEMORIAL FUND,4700,84,-1,1,7170
THE JEWISH IDEA YESHIVA,4700,76,30,2,4
FRIENDS OF THE JEWISH IDEA YESHIVA,4700,85,30,1,4
JUDEAN CONGRESS,4700,86,-1,1,7170
JEWISH LEGION,4700,87,-1,1,7170
THE VOICE OF JUDEA,4700,88,29,1,2
NO'AR MEIR,4700,89,-1,1,7170
MEIR'S YOUTH,4700,90,-1,1,7170
AMERICAN FRIENDS OF YESHIVAT RAV MEIR,4700,91,31,2,2
AMERICAN FRIENDS OF THE UNITED YESHIVA,4700,91,31,2,2
THE COMMITTEE AGAINST RACISM AND DISCRIMINATION,4700,92,-1,1,7170
PKK,4702,93,-1,1,7170
PARTIYA KARKERAN KURDISTAN,4702,94,-1,1,7170
THE PEOPLE'S DEFENSE FORCE,4702,95,-1,1,7170
HALU MESRU SAVUNMA KUVVETI,4702,96,-1,1,7170
FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN,4702,97,32,3,2
KADEK,4702,98,-1,1,7170
KURDISTAN FREEDOM AND DEMOCRACY CONGRESS,4702,99,32,7,2
KURDISTAN PEOPLE'S CONGRESS,4702,99,33,7,2
PEOPLE'S CONGRESS OF KURDISTAN,4702,100,33,6,2
KONGRA-GEL,4702,101,-1,1,7170
KGK,4702,102,-1,1,7170
LTTE,4703,103,-1,1,7170
TAMIL TIGERS,4703,104,-1,1,7170
ELLALAN FORCE,4703,105,-1,1,7170
ELN,4706,106,-1,1,7170
EJERCITO DE LIBERACION NACIONAL,4706,107,34,3,2
PIJ-SHAQAQI FACTION,4707,108,-1,2,7170
PIJ,4707,109,35,1,3
ISLAMIC JIHAD IN PALESTINE,4707,49,12,99,55
ISLAMIC JIHAD OF PALESTINE,4707,49,12,99,55
ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,4707,110,-1,1,7170
PIJ-SHALLAH FACTION,4707,108,-1,2,7170
PALESTINIAN ISLAMIC JIHAD,4707,111,12,35,55
AL-QUDS SQUADS,4707,18,-1,2207,7170
SAYARA AL-QUDS,4707,19,36,295,2
AL-QUDS BRIGADES,4707,18,-1,2207,7170
AL-AWDAH BRIGADES,4707,18,-1,2207,7170
PALESTINE LIBERATION FRONT,4708,111,12,35,55
PLF,4708,112,-1,1,7170
